iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.05438562891954324,-6.817836284637451,3.2581005096435547,-2.0602355003356934,3.5685231685638428,105.72384643554688
1,1.9456143710804568,-0.055870397280056945,-5.782680988311768,2.1678364276885986,-2.0910849571228027,2.8915910720825195,102.35734558105469
2,1.8897439738003998,-0.03945681453876398,-6.518227577209473,3.4755725860595703,-2.3461782932281494,3.25870943069458,102.59413146972656
3,1.850287159261636,-0.02426545610094793,-6.357288360595703,3.8949122428894043,-1.9303536415100098,3.9337029457092285,94.82805633544922
4,1.826021703160688,-0.034385774321482265,-5.897657871246338,3.137889862060547,-2.3431296348571777,3.300814390182495,99.98080444335938
5,1.7916359288392059,-0.022093703735068467,-6.5393476486206055,3.433764934539795,-2.0199544429779053,4.163700103759766,99.70938873291016
6,1.7695422251041375,-0.026753804441233313,-7.339030742645264,3.553086280822754,-2.0064430236816406,4.374770164489746,96.74065399169922
7,1.7427884206629043,-0.025756886721931247,-6.932071685791016,3.4945566654205322,-2.3294878005981445,3.810136079788208,95.29263305664062
8,1.717031533940973,-0.03262019039858882,-6.339001655578613,3.8307557106018066,-2.6058740615844727,3.3399648666381836,95.80461120605469
9,1.6844113435423842,-0.02971260207899124,-6.799601078033447,3.078291654586792,-2.515305995941162,3.160493850708008,94.83760833740234
10,1.654698741463393,-0.021552841960900227,-6.681748867034912,2.364675283432007,-2.395780086517334,3.7943477630615234,89.29293060302734
11,1.6331458995024928,-0.024702631894706412,-6.46711540222168,1.9258023500442505,-2.2306528091430664,2.95061993598938,89.91899871826172
12,1.6084432676077864,-0.02362599364725454,-6.040417194366455,2.432455062866211,-2.157729148864746,3.369399309158325,90.10069274902344
13,1.584817273960532,-0.022982696101572622,-7.7847161293029785,4.980712413787842,-2.1520721912384033,4.219285488128662,97.8448715209961
14,1.5618345778589593,-0.01923705212437477,-6.139069080352783,4.281508445739746,-2.303586483001709,3.1329054832458496,87.0713119506836
15,1.5425975257345845,-0.02326096368385686,-6.251063346862793,5.327366352081299,-2.2769556045532227,4.050983428955078,89.43013763427734
16,1.5193365620507278,-0.018258458522284363,-5.64286994934082,6.307386875152588,-2.1276297569274902,3.3547468185424805,91.93745422363281
17,1.5010781035284433,-0.020709252937510175,-6.567018032073975,3.586636781692505,-2.3987860679626465,3.40751576423645,84.8525390625
18,1.4803688505909331,-0.0347199612900505,-6.043795585632324,1.8788559436798096,-2.363068103790283,2.6011104583740234,90.23365783691406
19,1.4456488893008828,-0.016366232630683993,-6.153435230255127,2.291508674621582,-2.567286968231201,3.135319471359253,82.01187896728516
20,1.4292826566701988,-0.016467992369350936,-7.561466693878174,1.8495813608169556,-2.7942681312561035,3.3988702297210693,89.2075424194336
21,1.412814664300848,-0.019723152558388576,-6.173102855682373,2.346475601196289,-2.3949851989746094,3.058248519897461,86.1623764038086
22,1.3930915117424594,-0.022984179643048233,-6.700518608093262,2.210038661956787,-2.822199821472168,2.2810420989990234,84.96585845947266
23,1.370107332099411,-0.0160491154892582,-5.565012454986572,2.0267386436462402,-2.26863694190979,2.947050094604492,84.84777069091797
24,1.354058216610153,-0.0150140216993183,-7.0941243171691895,2.008544445037842,-2.6151256561279297,3.4944067001342773,83.3360824584961
25,1.3390441949108347,-0.011398077962450877,-6.736617565155029,1.7027227878570557,-2.2997703552246094,3.2613797187805176,81.14994049072266
26,1.3276461169483837,-0.014454108892123651,-6.658073902130127,2.526132106781006,-2.634840726852417,3.570927619934082,81.21733093261719
27,1.31319200805626,-0.0165441537542436,-5.9070539474487305,3.125718355178833,-2.5873022079467773,2.8987526893615723,83.9500961303711
28,1.2966478543020163,-0.011566156999986144,-6.462817668914795,3.0619051456451416,-2.5138611793518066,3.6227264404296875,79.4604721069336
29,1.2850816973020303,-0.011613436134384652,-6.5897979736328125,1.289962887763977,-2.5197911262512207,3.04156494140625,81.1603775024414
30,1.2734682611676456,-0.012984802316729794,-7.412550926208496,3.5503547191619873,-2.591090679168701,3.1779625415802,78.12113189697266
31,1.2604834588509157,-0.01247849964064968,-6.460543632507324,2.5189051628112793,-2.578610420227051,3.293248176574707,78.6924819946289
32,1.248004959210266,-0.011468429328529555,-6.931511402130127,4.654176235198975,-2.722229480743408,3.8968491554260254,77.46186828613281
33,1.2365365298817363,-0.01316501750673555,-5.722858428955078,2.2527968883514404,-2.6014676094055176,3.3985700607299805,83.17095184326172
34,1.2233715123750009,-0.012462941174316868,-5.738729953765869,3.381178855895996,-2.440985679626465,3.3648641109466553,72.10454559326172
35,1.210908571200684,-0.01010660915221039,-6.550238132476807,2.728515625,-2.5689260959625244,3.727968215942383,82.46294403076172
36,1.2008019620484736,-0.010195672803491849,-6.645324230194092,1.7018139362335205,-2.6681604385375977,3.223827362060547,78.11875915527344
