iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.0002872625984417,57.7274045345459,94.4530953762207,73.46207815381622,48.58951950073242,6.630521774291992
1,1.9997127374015584,-0.0003149198109803,55.94438642236328,93.3446034786377,72.00838714810943,46.93977355957031,5.621142864227295
2,1.999397817590578,-0.0002017921270979,51.747382104125975,99.13315290185547,72.35654932233429,59.061283111572266,1.7288508415222168
3,1.99919602546348,-0.0002163836761761,53.17572301599121,91.12809652062988,73.41519111367798,55.364837646484375,2.6244430541992188
4,1.998979641787304,-0.0002773210896597,55.4535836574707,90.65751737329101,73.42748320075607,52.37717056274414,6.544392108917236
5,1.998702320697644,-0.0003039251191704,57.20669454309082,92.51420682641601,73.49158585044479,46.01217651367188,3.733047008514404
6,1.9983983955784737,-0.0004741044169313,60.39991563531494,88.44380468103027,71.54415827962494,38.58932113647461,18.29329872131348
7,1.9979242911615425,-0.0001602100849617,47.35348409387207,91.82566732141113,72.84574875208473,49.2736701965332,1.1697165966033936
8,1.9977640810765804,-0.0003131194616887,55.498894631591796,90.4878739711914,71.76616269322967,53.34936141967773,9.303974151611328
9,1.997450961614892,-0.0002274058975911,52.01677983972168,92.318463265625,72.29961240264511,52.1976203918457,3.267850637435913
10,1.9972235557173008,-0.0002954971558022,55.75150197717285,87.4729518291626,72.1097527143631,43.743412017822266,5.416409492492676
11,1.9969280585614984,-0.0002359218950163,52.29309362145996,91.78669446679687,71.7111942169342,54.22998046875,2.352076292037964
12,1.996692136666482,-0.0002432241979659,53.57212156030273,97.46718496057129,72.37539797994232,55.1235580444336,2.8027658462524414
13,1.996448912468516,-0.0002052579344242,51.25929540368652,87.74172395440674,72.15744978162384,48.5706901550293,1.7940526008605957
14,1.996243654534092,-0.000177688131915,49.95642369958496,91.91688054772949,73.54713928672409,55.585731506347656,1.354639768600464
15,1.9960659664021767,-0.0003197156409597,57.9173344967041,87.8005713817749,72.84441029998398,36.576637268066406,6.303080081939697
16,1.995746250761217,-0.0003789198479785,59.78762429925537,89.64807409020996,73.01602831455803,44.10804748535156,12.562451362609863
17,1.9953673309132385,-0.0003074638885299,56.804545342651366,87.01018518182373,72.07631403180694,47.81974029541016,7.932719230651855
18,1.9950598670247084,-0.0002004763817434,52.157504021850585,89.31352704736328,73.32902061912155,48.56818389892578,1.400951623916626
19,1.9948593906429648,-0.0001900613491659,51.27130407067871,89.2774648067627,73.2267280218277,48.13622283935547,1.2813477516174316
20,1.994669329293799,-0.0001985372776189,52.16029638024902,89.10399526330566,73.546419799057,40.2199821472168,1.6594873666763306
21,1.99447079201618,-0.0002908749363277,54.25274175378418,88.13113111230469,71.6874590513382,47.7384033203125,4.949891090393066
22,1.994179917079852,-0.0002180083920152,52.52962011071777,88.46405976983642,72.46336764070129,51.87227630615234,3.536924362182617
23,1.9939619086878368,-0.0002316742239414,52.68215268823242,89.02385228845215,72.39383810731506,48.9177131652832,3.188321352005005
24,1.9937302344638956,-0.0002070615056482,53.0008248684082,91.70965093347168,73.61019235822296,44.92736053466797,1.6351672410964966
25,1.9935231729582472,-0.0002389838135373,54.46452611657715,89.42615407678223,73.19780224534607,52.63037490844727,3.0791289806365967
26,1.9932841891447095,-0.0001626874677197,47.197421014038085,89.42287343713379,73.00183472010231,56.79156112670898,1.468929409980774
27,1.9931215016769896,-0.0002668423908303,55.25798696252441,88.88677114221191,72.6852177378807,48.3368034362793,5.729814052581787
28,1.99285465928616,-0.000203317437326,51.3836373684082,92.98843282434082,72.43394654962158,49.88766860961914,1.7108590602874756
29,1.9926513418488332,-0.0002673468985511,54.613728463378905,90.06524556848144,72.19329053136444,52.36302185058594,5.826380252838135
30,1.9923839949502824,-0.0002615881007955,56.037726342407225,88.57999223443603,72.90960589024162,46.686893463134766,5.370954513549805
31,1.9921224068494867,-0.0002228812032712,50.88506025048828,91.88897412988281,71.23860269757843,51.26792526245117,3.123507261276245
32,1.9918995256462155,-0.0002131688909237,51.498019158569335,85.39348596307373,72.29483962031937,43.23047256469727,1.896790862083435
33,1.991686356755292,-0.0002650849241962,54.72714704248047,89.61554616662598,71.99655097695923,47.56222534179688,4.691064834594727
34,1.9914212718310955,-0.0002949772353831,55.46206182214355,87.62681478234863,72.26887690993881,42.07990264892578,4.772039890289307
35,1.9911262945957124,-0.0001747556339329,49.13389486047363,88.4215545055542,72.0970590111885,41.20984649658203,1.044100999832153
36,1.99095153896178,-0.0002227326402839,52.49659246179199,90.29974645349121,72.22382825585937,53.73949432373047,3.5845751762390137
37,1.990728806321496,-0.0002381648985051,54.44913953515625,86.43825620385742,73.12265910181141,43.78297424316406,3.05234432220459
38,1.9904906414229904,-0.000221209992936,53.066296517578124,91.77783864709473,73.21862593266106,54.57540130615234,2.743685007095337
39,1.9902694314300544,-0.0002383862739816,52.7753724453125,95.20964521142578,71.97542983266449,53.115821838378906,2.039961099624634
40,1.990031045156073,-0.0002226937708409,53.600436150756835,91.59550946923828,73.45170551511383,51.10776901245117,2.084141969680786
41,1.989808351385232,-0.0002653567676347,53.54225248071289,91.4074296352539,71.65139359208679,45.51109313964844,3.023134708404541
