iteration,temperature,minE,maxE,meanE,VarE
1,2.0,49.61003168172684,90.72745474557506,71.38694946090656,52.58031332075325
2,1.999,51.600807093610314,92.3556925024282,71.17195115451152,52.348261302549055
3,1.998,56.28844829523618,92.1155487619605,71.5519693167521,39.755873051076975
4,1.997,54.33842029556985,93.02413332140657,71.38975054388368,55.99613961429993
5,1.996,54.81710869921891,89.41977495112307,72.4486682445158,56.36651455145093
6,1.995,54.18507380782497,88.95669226619754,70.87098722947114,52.25880908935206
7,1.994,53.51755060429723,89.25455537149386,71.83524918284128,54.00412180684757
8,1.993,53.46932795282429,88.17539413990097,71.43025367909456,47.3595761915372
9,1.992,51.19238056521454,89.3217375268074,72.09866237851769,53.09032223740601
10,1.991,49.82443471400373,94.16904642077489,70.94729389054243,55.57884184045109
11,1.99,54.8290758853628,90.2654898782795,71.75605620251868,51.32324695219751
12,1.989,52.45257250292423,89.31169173287552,70.96649688111168,59.78897754094467
13,1.988,57.03270510893195,90.44847750039254,72.18105140576822,53.880702187386014
14,1.987,50.785347502354895,89.40052160942196,72.16553070859922,49.16004387197266
15,1.986,55.948281842019895,89.31590093110002,72.37478374322642,51.615373846527845
16,1.985,56.2301843714697,93.74441389398734,72.19729727839146,49.69178848001904
17,1.984,53.86930270387899,94.02350836486723,70.99662448597142,47.74039639255723
18,1.983,53.43328513821324,89.4249969982367,70.84418539742747,52.01959389259893
19,1.982,52.06736974272948,92.27534793821467,72.10097210455588,54.480673415507546
20,1.981,50.665634380985146,86.71546412641301,70.40518303193097,55.77530296527555
21,1.98,51.85355290889967,87.67253574964874,71.35840602446237,44.8426583619196
22,1.979,54.86843492000304,91.76970445800265,71.39639259068237,51.77634526297028
23,1.978,51.91923630065764,89.63299017035484,71.40895529977637,57.464311804820646
24,1.977,53.20919502204494,85.81483754081165,71.19914514042905,34.87210581668332
25,1.976,52.61862025003169,85.70491531739894,71.40159812976762,45.77938276607031
26,1.975,50.98733084125296,87.80215953204997,70.9088741761178,52.20719794853284
27,1.974,53.65395409375141,88.34275674405015,71.21362262988647,49.306783156723206
28,1.973,50.03889241118834,84.34232983654532,71.86315187235876,41.09690975525561
29,1.972,56.709418518518525,94.08150064789582,71.76233064363117,51.73271078650395
30,1.971,53.22446322485612,96.34517797774883,70.82111616184163,55.69331686544364
31,1.97,51.97523908647841,89.47274086829793,71.84044558754542,46.38431589713881
32,1.969,51.37752260578216,91.76905401733126,70.92949570906615,49.64200224379911
33,1.968,51.00753702654659,98.74885755368334,71.35298379348845,51.716885480791305
34,1.967,54.20375350026843,92.97631216362524,70.80999791681006,60.44517080930065
35,1.966,50.56706018887154,87.36932182110505,70.39965644027913,49.93376045387989
36,1.965,56.46285208158171,88.84864880934074,70.87466668225827,37.26540681970981
37,1.964,54.59132348323718,86.84947781542147,71.16399574392338,37.533385552144765
38,1.963,47.00476959025271,88.05203175970962,70.66997058340239,49.09799844695127
39,1.962,52.813716637747945,86.58178252017265,70.8013309180248,50.67775787426486
40,1.961,53.604848959467155,92.5410747351513,71.13909372372804,47.545318061743465
41,1.96,52.836506045262816,90.86812782034596,70.84024341121398,45.73731932469345
42,1.959,57.8488769467578,90.3469147294521,72.27969276940694,50.29461972982757
43,1.958,49.2701277728318,92.5789955321942,71.5644373199606,55.90547231943434
44,1.957,52.01340600329743,90.94103812690274,71.90162361981642,42.29147243249271
45,1.956,51.19486528565402,92.63087433348225,72.77540424212323,50.609982949177066
46,1.955,47.88630198471702,87.33129326557908,71.48909441208208,39.35008659834233
47,1.954,51.99791223838151,88.75454498417551,71.59805993713809,44.23463922434593
48,1.953,49.54795738228208,87.60776860122567,71.67207243954194,42.80911641636296
49,1.952,52.87728413416413,89.1735573081595,72.06253281849186,44.856996516335975
50,1.951,46.6511893054431,83.75344652880197,70.43003226237704,44.4442632591925
51,1.95,52.14965836548456,91.3671053561513,71.59155025651971,46.90852664793415
52,1.949,55.42604170195766,85.3804025498058,71.36168656831633,42.23309350453251
53,1.948,53.703227541436064,94.28395575921249,71.57275998783302,52.03085918489961
54,1.947,54.90635343410819,89.20906819821198,73.18261933230038,54.948236528073686
55,1.946,54.600905626277694,89.58429474265385,70.5110160114566,48.50371473108365
56,1.945,50.60899823253065,87.0301933666217,72.06686752619953,58.37204230397877
57,1.944,53.422884385190784,87.72546850021601,71.21073621304167,46.44349466656094
58,1.943,56.35477622981543,89.15513840922787,71.64036125260462,50.2350488966504
59,1.942,52.69587579462685,85.92524867880562,72.13169106879661,49.54902828905193
60,1.941,54.628434401436905,92.84662101817601,72.06444591858136,55.296004625179016
61,1.94,52.88847318955598,87.04781253507508,71.60922954377402,50.76423323373296
62,1.939,50.73045818524948,85.58875050303934,70.99203130101856,50.53388186868151
63,1.938,55.99302391727991,93.48291073459322,71.30382260877386,46.38515821584903
64,1.937,54.47934744841923,93.63207534095346,71.33111689482593,46.015319388975264
65,1.936,55.717526081061564,85.33774988906616,70.93181685606628,49.17548766958636
66,1.935,53.31677258577264,90.36342736120703,70.37663845449548,53.81903436649828
67,1.934,49.438058328773316,88.4576702654951,71.35257229623132,51.55197572957462
68,1.933,52.13879503969274,88.48183929125422,72.70964566292065,42.48164518331247
69,1.932,50.35564498092347,89.64167642376353,71.6564059641015,48.02022058484609
70,1.931,52.46515944439648,89.05980417421864,71.24356356096581,51.93853425284125
71,1.93,56.24657847045382,87.4426972194889,71.72847591735878,38.5627153042119
72,1.929,51.808207929180384,87.98544181425058,72.22011692710586,48.269901866561526
73,1.928,53.40638832266052,89.21003322165357,71.40362737811402,48.63070764968021
74,1.927,54.57253773999852,86.78147384682595,71.32391529914624,43.9400766075818
75,1.926,56.73659330593673,89.36553023319344,71.38888510966873,48.2294723765303
76,1.925,51.00469996702266,87.4631771615718,71.40534574471978,47.40824552951303
77,1.924,54.37560697196436,93.75657255063727,71.47801488257889,47.1629422148773
78,1.923,52.231136458442315,87.13117998269989,70.91611790294421,51.62796877347542
79,1.922,52.501929420994365,94.56527999364137,71.98961647124753,49.40903085556118
80,1.921,52.06259881563882,89.14442264007658,72.02437654807422,62.50508672683367
81,1.92,53.88289058504884,88.43255712339447,71.31503590445783,57.47621151351957
82,1.919,55.16044401829659,89.44914781068488,72.45115445520364,51.30856400981852
83,1.918,55.45054206581853,87.70978633398028,70.64276570335645,44.733518494476
84,1.917,49.01423657859539,89.05982081543667,70.67982245725722,52.59511774698957
85,1.916,51.762740721674454,85.6543212579436,71.24160811703578,43.10602460348523
86,1.915,53.29427284728324,87.30969181532687,71.63193206015997,50.49207060783189
87,1.914,55.76685484268194,86.08751285527215,71.16850334135401,42.24137925874514
88,1.913,56.11850042927832,86.43734557714163,72.28821631235276,34.48475476712335
