iteration,temperature,minE,maxE,meanE,VarE
1,2.0,123.98388152202418,140.4107357196446,131.8809093880549,13.171302979399323
2,1.999,125.28807752374769,140.84575030423727,132.278951948314,12.252747512783412
3,1.998,122.37322674770768,142.44650440506746,131.47540285606334,14.694412790046469
4,1.997,123.50706010851458,141.20820228476248,131.71815392250133,11.559662663204053
5,1.996,123.13119849572743,141.78724643124445,131.89537916335354,14.56756704459935
6,1.995,123.02930415039754,142.17152579816462,131.81767976297948,12.718524509897525
7,1.994,120.30552258876051,146.00906021584404,131.8940097453413,13.334770066742765
8,1.993,122.3403920150687,140.25646790781764,131.96174900116824,13.261820905307214
9,1.992,119.57753024372786,141.567118063482,131.96476041775222,12.481813755591233
10,1.991,122.16459416639438,141.14436090000817,131.793329344999,15.3399213604217
11,1.99,120.3006069726458,140.97564515812363,131.83869737892286,13.305516113772617
12,1.989,120.26519184152389,141.55469152325207,132.1395351908231,16.34680916302279
13,1.988,123.68394479144413,140.57062845365908,131.83405629974203,12.032305361261322
14,1.987,124.07169889860717,143.37181570223217,131.60552616920413,15.63807155227837
15,1.986,122.57423288862888,141.54492625016593,132.46310748591105,15.011624419954037
16,1.985,117.6795612015049,139.99867494903515,131.72494814583297,13.76558427855871
17,1.984,123.48035589322805,142.28079020433265,132.28543931645652,12.639715527630244
18,1.983,121.2762708501185,141.6466158628619,131.9970165965006,14.560390637996484
19,1.982,121.19447262543517,141.16882863750732,132.0003562618162,14.513191881749009
20,1.981,121.12978345785005,142.5824565276047,132.2902288499401,15.335054558719207
21,1.98,124.20320623226073,139.7412842026126,131.7577351151723,10.210332449317168
22,1.979,122.66545535603846,139.94194625615012,131.86707602656978,13.0282219514957
23,1.978,118.82414740550323,142.19262295754334,131.9603350874449,14.557075016526394
24,1.977,122.0571938637798,140.9627323258729,132.25532518344045,14.313614186262013
25,1.976,124.74278384823886,141.7666514694466,132.16354711248405,10.212341803260083
26,1.975,123.18498079272746,138.70982615654654,131.34533521694638,11.01783152172285
27,1.974,122.10934019207495,142.5482795942372,131.84963655472933,12.608575895008668
28,1.973,123.55124442157201,138.92357972316412,131.1126728920001,11.326915344454783
29,1.972,122.80052018171797,142.399172164959,132.61438246758252,12.428270410338264
30,1.971,120.44991739710208,140.38355727906057,131.79855132248625,13.577229800401716
31,1.97,122.40200530564763,141.5305825855339,132.09034293756477,14.41839773586882
32,1.969,121.0759660483358,141.22343920225848,131.20322969930194,17.801684269085346
33,1.968,123.58718286112654,142.1390211224105,131.80402863829897,12.411960849951962
34,1.967,124.17670440981775,138.94675226944975,131.45154145993138,11.598039143137214
35,1.966,121.3073430542817,140.10292699380443,132.59140462002964,13.630634559199768
36,1.965,119.86882537181913,141.50363292252274,132.06620954546415,16.411344838554363
37,1.964,122.85038421355108,143.1662656729589,131.84162085832924,12.937363490305048
38,1.963,123.57020725856006,141.10742394218602,132.33650266379146,14.96819940021248
39,1.962,122.64070417166057,138.96549934602513,131.76238894464896,11.488927970258347
40,1.961,117.51336451484678,139.51584608042697,131.3502617381166,14.321200100247331
41,1.96,123.05059225403011,140.6121150123597,132.03954330263787,11.75117174685505
42,1.959,119.96110404464342,140.6996936294833,132.34074960201087,15.211479984215703
43,1.958,124.52790638117403,140.4335352417037,131.94400474032534,12.335875641512938
44,1.957,119.86009010301903,138.51304016935387,131.38715722432894,15.95252703829174
45,1.956,123.99474073094218,142.88709017653247,132.3029284351269,13.136121985092927
46,1.955,123.11984725164271,138.4263139999686,131.37511091930168,13.347478779032043
47,1.954,119.48144539448703,139.69650773005978,132.39302515047376,13.963105158849306
48,1.953,121.79298623049858,139.3411074208866,131.6649815146087,12.317646679490567
49,1.952,122.75796762308482,138.73299349774805,131.9957190270361,11.475425609812206
50,1.951,123.01887653086422,140.132294568594,131.5740117338724,13.906074277681146
51,1.95,123.57537227902061,141.7190721959464,131.64543110422105,14.60506801841914
52,1.949,123.19319336495133,140.76769720541017,131.62828150756488,11.795774504876448
53,1.948,122.56606384842331,140.78177984246753,131.75521037034454,14.30283091074824
54,1.947,117.89332726995593,141.65283769254967,131.7116118874469,15.202004376283288
55,1.946,120.73124564656513,143.1260247194823,132.12393400005234,13.18144204819944
56,1.945,120.69314589100618,142.5210140092629,131.64403925865702,14.02201943408568
57,1.944,121.78793170790162,140.7552198721937,131.87532752478683,15.464041938177184
58,1.943,123.47100052198452,140.343077983031,131.6206806301719,11.69197508712328
59,1.942,125.01843448946421,142.6358436576269,132.05583992171893,10.134919092204358
60,1.941,123.47445288659875,138.69197670658627,131.98925899248843,9.255382788023624
61,1.94,123.72802384499035,141.47062273132852,131.67097603343404,12.73691780748464
62,1.939,121.59282267247497,140.55257903521021,131.7631649302327,14.732483677703486
63,1.938,123.21930395090533,142.04041970637303,132.16359040151917,13.879279731419402
64,1.937,124.73291442853736,139.4934231782894,131.51223058340528,10.44771480805605
65,1.936,121.89027674450924,141.61661435421888,131.7776612607844,12.492284810657932
66,1.935,123.45669822396984,140.34062053257793,131.81646586703036,11.973568398591482
67,1.934,119.75876408933198,142.89474051315133,132.23113334888328,16.71689750390019
68,1.933,121.67582061227358,140.96196085424043,131.9110881193089,13.781855014094777
69,1.932,122.30628604992046,139.95113983512994,131.6595384081317,13.869451282891777
70,1.931,120.5377901379174,140.51144920958131,131.38715172250963,17.850447905311682
71,1.93,119.26576208082092,140.76708878228874,131.67391071034376,13.922666253327577
72,1.929,120.58111320490198,142.23835275327252,132.06799107372058,18.79423038613419
73,1.928,124.84402820040157,142.28908282153722,131.93401564267396,13.419534732872181
74,1.927,124.25190882577144,141.08460110691155,131.4857617141497,11.700788696642928
75,1.926,120.71453690295404,139.39335539858013,131.7015558984888,11.896960683382545
76,1.925,122.41313650096949,143.25702052331587,132.14789095270623,12.660345917686431
77,1.924,120.58963370621042,145.32891603144913,131.54653289152077,16.942457903978454
78,1.923,123.86845875214293,139.56063348193095,132.60161814670525,12.316506243908607
79,1.922,122.2874294764066,139.66361823559214,131.48284468492517,11.730310992150851
80,1.921,122.37235792294952,140.62547607858156,131.6825441357217,13.927016251308038
81,1.92,123.56975434673217,141.39098123969666,131.51276992213542,11.364168194967206
82,1.919,121.48225640779268,139.07233481275438,131.2128001374179,12.507932013711578
83,1.918,122.35977309849608,141.52175478205598,131.89777643689388,16.374272698122994
84,1.917,123.10737371844269,139.96473570860294,131.48027416687796,12.673912531322909
85,1.916,122.14039024183205,145.25031782228754,131.65822451958852,17.108973294390424
86,1.915,120.92103330839092,140.6093769286462,131.80392007853294,12.398629067160442
87,1.914,120.8231004867896,142.03734203600385,131.28014420392137,13.11898623520665
88,1.913,122.4361417021693,139.7189706750063,132.09580399673,14.279964914328659
89,1.912,122.28266836033849,138.94743053837794,131.3888683941316,11.269013126973057
90,1.911,122.33083017419398,140.13163641288776,131.51089513509496,13.357068034893627
91,1.91,122.35921019026878,139.91308119270738,131.48389545354388,13.71073026744121
92,1.909,123.2550834476628,144.94877953553612,131.2965042664824,14.343219288836268
93,1.908,120.74529377910073,140.95905082305103,131.93279423557368,13.93142703394668
94,1.907,122.00845248669087,140.6168747255304,131.54127203756263,13.350451913722553
95,1.906,120.27488327525687,139.4693169321775,131.48460099013062,14.973317811567389
96,1.905,121.55293733586348,141.29957605903093,130.9513331153005,13.83696544182042
97,1.904,121.11915827684592,142.8624889148399,131.75480730875924,13.869641243172936
98,1.903,122.3402249695138,142.50507870558351,132.19247382767102,13.435034843584562
99,1.902,120.41511317974845,140.7722517939277,131.45657010334338,16.26563674386321
100,1.901,120.46844564311647,139.61192252513786,131.00769627246572,13.813306363147277
101,1.9,122.2600428346069,140.7283700898539,131.3549977886425,11.318185899531965
102,1.899,118.56947330963574,138.280214440421,131.16796734226074,11.109506224261123
103,1.898,120.26137978436327,139.27965796666655,131.35846960231703,11.834850980226378
104,1.897,121.48578336855695,143.44353644340526,131.33290163624616,13.89323739891102
105,1.896,120.51532826293736,142.175625536153,131.0377362373536,15.404085774012113
106,1.895,119.66590571817162,138.1216162593953,131.09325022578335,12.222149431148194
107,1.894,120.93567002973,140.46089137824157,131.1115993352773,15.13289623302729
108,1.893,122.2464124480173,143.37797251741708,131.85988697593137,16.545196843809165
109,1.892,121.9917452673417,141.14320388284852,131.61892301791232,14.517811425556076
110,1.891,122.77074855212223,142.198344795486,131.55424272335307,13.680464225165261
111,1.89,123.20022849980872,140.97597885585645,131.3495008503911,12.877402675520225
112,1.889,120.71416774162425,140.25710552700795,131.31560665656642,14.531119036324904
113,1.888,120.04174488204268,141.311347617098,131.5827086614282,13.280591973705972
114,1.887,120.40164116112346,139.8845060095585,131.11798756796412,13.515554667435337
115,1.886,121.2081004098318,142.92944092600385,131.21157636375622,15.028386626199268
116,1.885,123.18715534949911,139.85053636247744,131.56476475667034,11.405690263787196
117,1.884,122.23386035033518,141.9973861958195,131.89765314122286,13.700168882767958
118,1.883,118.260285094833,140.69051808187749,130.87584999618946,19.05991257540279
119,1.8820000000000001,120.1644465982559,142.90554623417455,131.90390739212398,13.118659599428101
120,1.881,122.2711089690915,143.19597455828733,131.7537173842564,12.751140196986517
121,1.88,121.36438395456125,140.4906945980834,131.76399410906168,13.695940159267428
122,1.879,116.06029770754769,139.5381978237013,131.40335058429764,12.420785091686447
123,1.8780000000000001,123.8750328496346,141.28219183028088,131.66874236528102,13.369767715167535
124,1.877,123.01673731908457,141.6174021252943,131.8044900534585,12.989272616432311
125,1.876,122.8407335552655,140.15549639422164,131.2417769092256,13.151429183673546
126,1.875,122.81267017555552,140.58021091585258,131.86428724239602,12.983885841565602
127,1.874,121.43750157501556,139.89805396024965,131.27107122723237,12.66164210853509
128,1.873,121.50392444264075,139.34480940200382,130.6515572319439,15.131302354698315
129,1.8719999999999999,121.86093756521265,140.53196938865048,130.7669296043558,13.705464162596748
130,1.871,123.47093900688424,138.4480056346187,131.39786797194122,13.846495528906255
131,1.87,124.02313042572987,141.6336550780738,131.54591147790052,12.205962506798446
132,1.869,122.81274789614893,140.83404068698061,131.4217718916566,15.164754675090938
133,1.8679999999999999,120.49069496280418,138.35486115402114,131.25702670745463,13.33099425224239
134,1.867,122.53444916321406,140.73744251105987,131.27782619530672,13.360593993163286
135,1.866,124.50583411902863,140.99082960595746,131.21187692068696,12.805805163161475
136,1.865,123.21246002121977,140.32282761355273,131.15691264129947,14.330889791640676
137,1.8639999999999999,117.75794302468816,138.47798466260917,130.76692730939502,13.930016313785519
138,1.863,120.19754199735524,141.2528316917615,132.1535528613569,16.12203642853136
139,1.862,121.55888738585901,143.42086424720782,131.4940166218003,15.443684432293338
140,1.861,119.7796290136774,139.4011764972479,131.14441705190575,14.259779345526454
141,1.8599999999999999,120.9611828541386,140.30335951791156,131.1595377677864,14.83058106466944
142,1.859,123.15176574972354,141.99361160131292,131.50203794140367,16.462729761489825
143,1.858,125.10126796735653,141.12561204436804,131.74142583539304,13.732051482310286
144,1.857,116.16115961174317,143.37501533969868,131.3759372691939,14.701621783850774
145,1.856,122.32157703818964,141.36406301505428,131.2084284714976,13.822785203778238
146,1.855,120.00487236874675,139.67299485573326,131.38707205172489,12.835625852756438
147,1.854,120.26844787270258,139.35666825557013,131.03857830632725,17.251040028524827
148,1.853,122.07656817829437,142.17383260146687,131.48433714560855,15.599017802851465
149,1.852,120.1604168705156,140.9019167417142,131.6401126128482,13.985808867363266
150,1.851,121.42459112291633,139.96535285425108,130.8239834530059,14.40207246879683
151,1.85,120.79268883467162,140.311712159538,130.9070398497131,13.930508941217967
152,1.849,122.6191086587385,141.26450664110348,130.98667733367563,14.86832394010836
153,1.848,120.7182699569245,140.8912299625759,130.92742646690465,13.156887268727036
154,1.847,120.85832797808462,141.89391605537367,131.2301787368567,16.414936942196764
155,1.846,119.42401326014145,142.24698942493723,131.7260517517507,16.05499708689842
156,1.845,122.74759892926437,142.3989564978971,130.6132055660591,14.295902509149998
157,1.844,121.37831925142038,141.98944948946487,131.4890783803834,16.12902812306286
158,1.843,121.72774398041187,141.33254908767643,131.45920429463172,12.739922010797727
159,1.842,120.58264788730864,140.0816497261762,131.13780923302616,12.479296632386145
160,1.841,121.71000104339852,144.75738524580822,130.74780094427985,14.44010139265674
161,1.84,118.44746947993679,141.02591294539144,131.43911144201587,16.619980313700577
162,1.839,119.46419119111857,139.4710884882694,130.99117342282165,13.043883808485646
163,1.838,121.97795433456892,140.49933163224816,130.7957011549629,14.252656022666315
164,1.837,123.50998843666272,141.07460269054664,131.19907350213106,13.421194383112644
165,1.836,122.77110318760779,140.26667932625426,132.12651306303718,14.197350208201764
166,1.835,121.74830779674514,142.34769062403444,130.84701643472027,14.867229990508012
167,1.834,123.40444955241716,140.1324122562232,131.4227401187901,12.105817746170299
168,1.833,122.91247380394114,140.48367641113583,130.86880412103577,10.13061406468042
169,1.832,121.8248578057696,141.29214262179244,131.08395964888882,14.62281584057433
170,1.831,117.05301543792386,140.51766219618816,130.4356913841565,14.906968976505702
